Term,Course,Section,Cr,Days,Times,Title,DistReq,Diversity,Room,Reg,Max,Exam,Faculty
Spring,JS182,A,4,TR, 9:30am-10:45am,"Jews, Judaism, and the Modern World (See RE182)",H,I , ,0, , ,Freidenrch 
Spring,JS251,A,4,MW,11:00am-12:15pm,Israelis and Palestinians: Conflict and Accommodation (See GO251),S, , ,0, , ,Denoeux    
Spring,JS298,A,4,MW, 1:00pm- 2:15pm,Public Speaking for Social Change,, ,LOVE 207,8,16,0,Isaacs     
Spring,JS298,A,4,M, 7:00pm- 8:30pm,Public Speaking for Social Change,, ,MILL 205,8,16,0,Isaacs     
Spring,JS298A,A,4,MW,11:00am-12:15pm,The Jewish Jesus (See RE298A),H, , ,0, , ,Emanuel    
Spring,JS322,A,4,TR, 1:00pm- 2:15pm,Food and Religious Identity (See RE322),S, , ,0, , ,Freidenrch 
Spring,LA174,A,4,MW, 1:00pm- 2:15pm,Introduction to Latin American Studies,H,I ,LOVE 208,33,35,4,Fallaw     
Spring,LA264,A,4,MW, 7:00pm- 8:15pm,Democracy and Human Rights in Latin America (See GO264),"S,W2",I , ,0, , ,Mayka      
Spring,LA298,A,1,T, 7:00pm- 8:30pm,"Baila: Latin Dance, History, Culture, and Performance",, ,RUNN 201,19,16, ,Bernal     
Spring,LA378,A,4,MW,11:00am-12:15pm,"U.S. in Latin America: Intervention, Influence, Integration","H,W2",I ,LOVE 318,7,15,0,Fallaw     
Spring,LT112,A,4,MTWF,12:00n -12:50pm,Intermediate Latin,, ,LOVE 202,17,20,17,Gillum     
Spring,LT364,A,4,MW, 1:00pm- 2:15pm,Livy: Early Rome,, ,LOVE 244,8,20,4,Barrett    
Spring,MA121,A,4,MTWF, 9:00am- 9:50am,Single-Variable Calculus,Q, ,LOVE 303,26,28,17,"Keller, A  "
Spring,MA121,B,4,MTWF,11:00am-11:50am,Single-Variable Calculus,Q, ,LOVE 303,17,28,17,Melvin     
Spring,MA121,C,4,MTWF,12:00n -12:50pm,Single-Variable Calculus,Q, ,KEYE 102,19,28,17,Bontea     
Spring,MA122,A,4,MTWF,11:00am-11:50am,Series and Multi-variable Calculus,Q, ,DAVI 201,18,28,6,Livshits   
Spring,MA122,B,4,MTWF,12:00n -12:50pm,Series and Multi-variable Calculus,Q, ,DAVI 201,24,28,6,Welch      
Spring,MA162,A,4,MTWF,12:00n -12:50pm,Honors Calculus II,, ,MILL 014,12,28,6,Mathes     
Spring,MA253,A,4,MWF, 8:00am- 8:50am,Linear Algebra,, ,DAVI 301,30,28,14,Youngs     
Spring,MA253,B,4,MWF, 9:00am- 9:50am,Linear Algebra,, ,LOVE 213,24,28,14,Bretscher  
Spring,MA253,C,4,MWF, 1:00pm- 1:50pm,Linear Algebra,, ,DAVI 201,29,28,14,Gouvea     
Spring,MA262,A,4,MWF,10:00am-10:50am,Vector Calculus,, ,KEYE 102,13,28,11,"Taylor, Sc "
Spring,MA274,A,4,MWF, 9:00am- 9:50am,Mathematical Reasoning,W2, ,KEYE 102,18,24,10,"Taylor, Sc "
Spring,MA274,B,4,MWF,12:00n -12:50pm,Mathematical Reasoning,W2, ,LOVE 303,16,24,8,Youngs     
Spring,MA311,A,4,MWF, 1:00pm- 1:50pm,Ordinary Differential Equations,, ,KEYE 102,26,28,4,Randles    
Spring,MA338,A,4,MWF, 2:30pm- 3:20pm,Real Analysis,, ,DAVI 201,21,28,16,Mathes     
Spring,MA353,A,4,TR, 2:30pm- 3:45pm,Matrix Analysis,, ,DAVI 201,7,28,9,Livshits   
Spring,MA376,A,4,MWF,11:00am-11:50am,History of Mathematics,H, ,DAVI 217,16,28,0,Gouvea     
Spring,MA398,A,4,MWF,10:00am-10:50am,Combinatorics,, ,LOVE 303,14,28,11,"Keller, A  "
Spring,MA411,A,4,MWF, 9:00am- 9:50am,Topics in Differential Equations,, ,DAVI 217,9,14,10,Randles    
Spring,MA434,A,4,MWF, 1:00pm- 1:50pm,Topics in Abstract Algebra,, ,DAVI 217,6,15,0,Melvin     
Spring,MA482,A,4,MWF, 9:00am- 9:50am,Topics in Statistical Inference (See SC482),, , ,0, , ,O'Brien    
Spring,ML122,A,3,MTR,11:00am-11:50am,Elementary Modern Standard Arabic I-B,, ,MILL 220,3,15,14,Chatti     
Spring,ML124,A,3,MW, 9:00am- 9:50am,Elementary Modern Standard Arabic II-B,, ,LOVE 344,1,15,3,Chatti     
